ID,Difficulty,Question,A,B,C,D,E,Type,Group
301, Easy,"NTO's Quality Assurance process requires that a team of users evaluates all parameters of an email send, including email, subject line, send classification, and other properties, prior to manually sending the email. What tool in email studio enables a marketer to save and execute a send manually? What tool in email studio enables a marketer to save and execute a send manually?",Guided send ,Send flow ,User-initiated email  ,Send activity , ,CHOICE,Marketing Cloud
302, Easy,Northern Trail Outfitters wants to maintain enterprise-wide opt-outs for two segments of its subscribers: Education Events and Sales. Which feature would the company use?,Shared Emails ,Shared Portfolio Items ,Shared Data Extensions ,Shared Publication Lists  , ,CHOICE,Marketing Cloud
303, Easy,"A retailer has been gathering email addresses in-store by asking customers to enter their email addresses at checkout to receive promotional emails. Upon sending to these addresses, many bounce because they are not valid. The marketing team would like to implement an acquisition strategy to address this. Which strategy should be used?",List detective ,Website signups ,Double opt-in  ,Single opt-in , ,CHOICE,Marketing Cloud
304, Easy,"The NTO email team is creating a reusable content block for its deals to run with campaign. NTO will cross-promote this campaign in other emails in single-column content area. This content will have one image, with text below it. How can the NTO email team create one content area and reuse it across other emails using content builder without writing any custom HTML?",Create a text content block ,Create a free form content block  ,Create an HTML content block ,Create an image content block , ,CHOICE,Marketing Cloud
305, Easy,"A marketer uses Email Approvals. In which send process must an email have an ""Approved"" status prior to send? (Choose 3)",A/B Tests ,Test Sends ,Send Previews ,Triggered Sends ,Scheduled Sends ,CHECKBOX,Marketing Cloud
306, Easy,"NTO has a master customer shared data extension. The company wants to make the table available to some of the business units, but not all of them. How can access to the master customer table be restricted?",data/ time range for access ,data extension sharing rules ,manage data extension policies ,shared data extension permissions  , ,CHOICE,Marketing Cloud
307, Easy,A customer wants to grow the number of subscribers in the account.Which two methods should the customer employ to acquire new subscribers? Choose 2 answers,Create an SMS campaign allowing customers to sign up for emails ,Add a “sign me up” form to the homepage ,Preselect email opt-in check boxes at online checkout ,Use a list of email addresses purchased from online vendors , ,CHECKBOX,Marketing Cloud
308, Easy,Northern Train Outfitters wants to display different content areas based on the subscriber data. What can be used to accomplish this? Choose 2 answers,Profile Mapping ,AMPscript ,Dynamic Content ,Personalization Strings , ,CHECKBOX,Marketing Cloud
309, Easy,What single place in content builder would a marketer store CSS used in several paste HTML templates?,Code snippet  ,Free form code block ,Script activity ,Style block , ,CHOICE,Marketing Cloud
310, Easy,A marketer would like to send a commercial email that is CAN-SPAM compliant. Which two criteria should be met to ensure compliance with the CAN-SPAM Act? Choose 2 answers,Include the mailing address of the sender ,Include a phone number to call ,State why the subscriber is receiving the email ,Ensure an opt-out link is present , ,CHECKBOX,Marketing Cloud
311, Easy,A file is received daily from a data provider to the account FTP. This file needs to be imported into the Marketing Cloud as soon as it arrives. The arrival time of this file varies by several hours from day to day. What tool should be used to accomplish this?,Automation studio file drop starting source  ,Automation studio schedule starting source ,Journey Builder fire event entry source ,Journey Builder import activity entry source , ,CHOICE,Marketing Cloud
312, Hard,"After receiving a GDPR ""Right to be Forgotten"" Request from their compliance team, a marketer must remove a contact from Email Studio. Where should this action be initiated in Marketing Cloud?",Contact Builder > Contacts Configuration ,Administration > Contacts ,Contact Builder > All Contacts ,Email Studio > All Subscribers  , ,CHOICE,Marketing Cloud
313, Easy,The marketing manager of NTO is interested in A/B testing emails in order to increase subscriber engagement. Which two practices should the marketing manager employ? Choose 2 answers,User a large sample size ,Wait at least 24 hours before declaring a winner ,Test multiple variations concurrently ,Offer a special discount for opening the email , ,CHECKBOX,Marketing Cloud
314, Hard,A marketer wants to delete subscribers from a data extension if the records are older than 30 days. How should the marketer accomplish this task?,Set a reminder in the campaign calendar each day to manually delete the records from the data extension ,Set data retention in the properties of the data extension to delete records older than 30days ,Use the mass delete wizard to automatically delete any records older than 30 days from the data extension ,Use the import activity in automation studio and select the delete records option for the specified timeframe  , ,CHOICE,Marketing Cloud
